,CH,CU,FC,FF,SI,batter,stand_L,home_team,balls,strikes,on_3b,on_2b,on_1b,outs_when_up,inning,at_bat_number,pitch_number,bat_score,fld_score,prev_CH,prev_CU,prev_FC,prev_FF,prev_SI,ball,blocked_ball,called_strike,foul,foul_bunt,foul_tip,hit_by_pitch,hit_into_play,hit_into_play_no_out,hit_into_play_score,missed_bunt,swinging_strike,swinging_strike_blocked,release_speed,zone,pfx_x,pfx_z,plate_x,plate_z
23,0,0,0,0,1,474443,0,0,1,0,0,0,0,0,5,42,2,4,3,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,92.2,13.0,1.5079916666666668,1.0514,-0.15,1.15
24,0,0,0,0,1,474443,0,0,0,0,0,0,0,0,5,42,1,4,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,92.1,6.0,0.7439666666666666,1.4971666666666668,0.53,2.31
25,0,0,0,1,0,606299,0,0,1,0,0,0,0,2,4,35,2,4,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,94.0,13.0,0.8692166666666666,1.5659666666666667,-0.32,1.27
26,0,0,0,1,0,606299,0,0,0,0,0,0,0,2,4,35,1,4,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,94.4,1.0,0.73005,1.2950666666666668,-0.58,3.17
27,0,0,0,1,0,534947,0,0,1,2,0,0,0,1,4,34,5,4,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,93.7,4.0,0.8622583333333333,1.3108333333333333,-0.35,2.6
28,0,0,0,1,0,534947,0,0,1,2,0,0,0,1,4,34,4,4,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,93.6,5.0,0.675775,1.3767666666666667,0.24,2.51
29,0,0,0,1,0,534947,0,0,1,1,0,0,0,1,4,34,3,4,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,93.1,13.0,0.7996333333333331,1.4197666666666668,-0.99,2.19
30,0,0,0,1,0,534947,0,0,0,1,0,0,0,1,4,34,2,4,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,93.4,5.0,1.0793583333333332,1.1517333333333333,-0.12,2.26
31,0,0,0,0,1,534947,0,0,0,0,0,0,0,1,4,34,1,4,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,93.0,4.0,0.7105666666666666,1.475666666666667,-0.51,2.41
32,0,0,0,1,0,541608,0,0,2,1,0,0,0,0,4,33,4,4,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,89.1,13.0,0.2513166666666666,0.9983666666666664,-2.2,1.43
33,0,0,1,0,0,541608,0,0,1,1,0,0,0,0,4,33,3,4,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,75.4,14.0,-0.785475,-0.4593333333333333,0.94,0.28
34,0,1,0,0,0,541608,0,0,0,1,0,0,0,0,4,33,2,4,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,90.9,4.0,0.4976416666666666,0.9926333333333331,-0.61,2.29
35,0,0,0,1,0,541608,0,0,0,0,0,0,0,0,4,33,1,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,76.2,14.0,-0.701975,-0.4550333333333333,0.52,0.87
36,0,1,0,0,0,623182,0,0,1,2,0,1,1,2,3,26,4,4,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,90.8,11.0,0.4099666666666665,0.8349666666666666,-1.17,2.65
37,0,0,0,1,0,623182,0,0,1,1,0,1,1,2,3,26,3,4,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,94.2,14.0,0.826075,1.4126,0.9,1.32
38,0,0,0,1,0,623182,0,0,0,1,0,1,1,2,3,26,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,86.9,14.0,1.5455666666666668,0.5712333333333331,0.77,1.27
39,1,0,0,0,0,623182,0,0,0,0,0,1,1,2,3,26,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,74.1,8.0,-0.7298083333333332,-0.19273333333333328,0.16,2.07
40,0,1,0,0,0,553993,0,0,2,2,1,1,1,1,3,25,5,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,94.5,14.0,0.8274666666666666,1.6233,1.72,1.79
41,0,0,0,1,0,553993,0,0,1,2,1,1,1,1,3,25,4,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,92.0,13.0,0.2387916666666666,0.9854666666666664,-1.16,2.0
42,0,0,0,1,0,553993,0,0,1,1,1,1,1,1,3,25,3,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,91.5,13.0,0.0871,0.9869,-1.52,1.26
43,0,0,0,1,0,553993,0,0,0,1,1,1,1,1,3,25,2,3,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,73.9,8.0,-0.593425,-0.7273666666666665,-0.13,1.83
44,0,1,0,0,0,553993,0,0,0,0,1,1,1,1,3,25,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,92.6,9.0,1.4286666666666668,0.9138,0.63,1.87
45,0,0,0,0,1,592731,0,0,1,0,1,1,1,0,3,24,2,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,93.2,14.0,1.2881083333333332,0.7776333333333331,0.11,0.93
46,0,0,0,0,1,592731,0,0,0,0,1,1,1,0,3,24,1,3,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,90.2,13.0,0.15529166666666666,0.6830333333333332,-1.77,2.21
47,0,0,1,0,0,594807,0,0,3,2,0,1,1,0,3,23,7,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,94.4,9.0,0.9109666666666666,1.3094,0.37,2.06
48,0,0,0,0,1,594807,0,0,3,2,0,1,1,0,3,23,6,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,94.5,14.0,0.98055,1.5545,0.57,0.26
49,0,0,0,1,0,594807,0,0,2,2,0,1,1,0,3,23,5,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,93.6,4.0,0.684125,1.7236333333333331,-0.54,2.71
50,0,0,0,1,0,594807,0,0,2,1,0,1,1,0,3,23,4,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,93.1,11.0,0.6437666666666666,1.4713666666666667,-0.49,4.7
51,0,0,0,1,0,594807,0,0,1,1,0,1,1,0,3,23,3,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,90.3,2.0,0.37239166666666657,0.7547,0.14,3.1
52,0,0,1,0,0,594807,0,0,1,0,0,1,1,0,3,23,2,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,92.9,12.0,0.6437666666666666,1.5459,1.19,3.32
53,0,0,0,1,0,594807,0,0,0,0,0,1,1,0,3,23,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,89.3,14.0,0.183125,0.7776333333333331,0.67,1.43
54,0,0,0,0,1,458015,1,0,1,2,0,0,1,0,3,22,4,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,93.7,14.0,1.310375,0.9797333333333332,0.42,0.74
55,0,0,0,0,1,458015,1,0,0,2,0,0,1,0,3,22,3,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,94.5,13.0,0.8107666666666666,1.6534,-0.91,2.31
56,0,0,0,1,0,458015,1,0,0,1,0,0,1,0,3,22,2,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,93.2,8.0,0.759275,1.5444666666666669,-0.2,2.09
57,0,0,0,1,0,458015,1,0,0,0,0,0,1,0,3,22,1,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,94.0,14.0,0.9499333333333332,1.5516333333333332,0.23,0.79
58,0,0,0,1,0,474443,0,0,3,2,0,0,0,0,3,21,9,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,94.0,13.0,0.8692166666666666,1.4212,-1.09,2.19
59,0,0,0,1,0,474443,0,0,3,2,0,0,0,0,3,21,8,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,93.0,6.0,0.9248833333333332,1.5086333333333333,0.45,2.29
60,0,0,0,1,0,474443,0,0,3,2,0,0,0,0,3,21,7,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,89.1,4.0,-0.042325,0.8607666666666666,-0.47,2.48
61,0,0,1,0,0,474443,0,0,3,2,0,0,0,0,3,21,6,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,93.1,13.0,0.9652416666666668,1.2907666666666668,-1.38,2.56
62,0,0,0,1,0,474443,0,0,2,2,0,0,0,0,3,21,5,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,86.0,14.0,1.2783666666666669,0.5884333333333333,1.78,2.28
63,1,0,0,0,0,474443,0,0,1,2,0,0,0,0,3,21,4,3,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,93.0,2.0,1.1920833333333332,1.4957333333333331,-0.05,3.13
