,CH,CU,FF,SL,stand_L,home_team,balls,strikes,on_3b,on_2b,on_1b,outs_when_up,inning,at_bat_number,pitch_number,bat_score,fld_score,prev_CH,prev_CU,prev_FF,prev_SL,ball,blocked_ball,called_strike,foul,foul_bunt,foul_tip,hit_into_play,missed_bunt,swinging_strike,swinging_strike_blocked,release_speed,zone,pfx_x,pfx_z,plate_x,plate_z
17144,0,0,0,1,0,0,2,2,0,0,0,0,7,59,7,4,6,0,0,1,0,0,0,0,1,0,0,0,0,0,0,97.7,11.0,-0.960825,1.7981666666666667,-1.241,2.495
17145,0,0,1,0,0,0,2,2,0,0,0,0,7,59,6,4,6,0,1,0,0,1,0,0,0,0,0,0,0,0,0,81.9,8.0,1.034825,-0.5639666666666666,0.187,1.699
17146,0,1,0,0,0,0,1,2,0,0,0,0,7,59,5,4,6,0,1,0,0,1,0,0,0,0,0,0,0,0,0,80.3,13.0,1.14755,-0.9280333333333332,-0.832,1.584
17147,0,1,0,0,0,0,0,2,0,0,0,0,7,59,4,4,6,0,0,1,0,0,0,0,1,0,0,0,0,0,0,96.1,11.0,-1.061025,1.4441333333333333,-0.912,3.311
17148,0,0,1,0,0,0,0,2,0,0,0,0,7,59,3,4,6,0,0,1,0,0,0,1,0,0,0,0,0,0,0,95.6,4.0,-0.9552583333333332,1.3423666666666667,-0.404,2.155
17149,0,0,1,0,0,0,0,1,0,0,0,0,7,59,2,4,6,0,0,1,0,0,0,0,1,0,0,0,0,0,0,96.4,3.0,-0.5294083333333331,1.6720333333333333,0.281,2.906
17150,0,0,1,0,0,0,0,0,0,0,0,0,7,59,1,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
17151,0,1,0,0,0,0,1,2,0,1,0,2,6,51,4,4,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,83.2,6.0,1.2881083333333332,-0.9323333333333332,0.598,2.652
17152,0,1,0,0,0,0,1,1,0,1,0,2,6,51,3,4,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,83.6,14.0,1.218525,-0.5123666666666666,1.016,1.892
17153,0,1,0,0,0,0,0,1,0,1,0,2,6,51,2,4,4,0,0,0,1,0,0,1,0,0,0,0,0,0,0,90.0,5.0,0.158075,0.5024333333333332,-0.029,2.544
17154,0,0,0,1,0,0,0,0,0,1,0,2,6,51,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
17155,0,0,1,0,0,0,0,1,0,1,1,2,6,50,2,2,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0,100.1,2.0,-1.0540666666666665,1.5588,0.092,2.94
17156,0,0,1,0,0,0,0,0,0,1,1,2,6,50,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
17157,0,0,1,0,1,0,3,1,0,0,1,2,6,49,5,2,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,88.2,11.0,-0.7910416666666666,1.1044333333333332,-1.15,4.048
17158,1,0,0,0,1,0,2,1,0,0,1,2,6,49,4,2,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,87.5,11.0,-0.8494916666666666,0.7934,-1.466,3.337
17159,1,0,0,0,1,0,1,1,0,0,1,2,6,49,3,2,4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,96.6,12.0,-0.877325,1.5215333333333332,0.87,3.264
17160,0,0,1,0,1,0,1,0,0,0,1,2,6,49,2,2,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,87.2,11.0,-0.8314,1.1761,-0.428,3.695
17161,1,0,0,0,1,0,0,0,0,0,1,2,6,49,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
17162,0,1,0,0,0,0,1,2,0,0,0,2,6,48,5,2,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,83.1,14.0,1.193475,-0.43066666666666653,0.406,1.084
17163,0,1,0,0,0,0,0,2,0,0,0,2,6,48,4,2,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0,82.7,6.0,1.26445,-0.5066333333333332,0.664,2.549
17164,0,1,0,0,0,0,0,2,0,0,0,2,6,48,3,2,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,81.0,6.0,1.162858333333333,-0.5725666666666666,0.394,2.607
17165,0,1,0,0,0,0,0,1,0,0,0,2,6,48,2,2,4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,92.6,3.0,-0.7423333333333331,1.6677333333333333,0.454,3.033
17166,0,0,1,0,0,0,0,0,0,0,0,2,6,48,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
17167,0,0,1,0,1,0,0,0,0,0,0,1,6,47,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
17168,0,0,1,0,1,0,3,2,0,0,0,0,6,46,6,2,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,87.0,1.0,-1.1876666666666664,1.280733333333333,-0.407,3.355
17169,1,0,0,0,1,0,3,1,0,0,0,0,6,46,5,2,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,87.5,11.0,-1.1208666666666665,0.9797333333333332,-1.559,3.372
17170,1,0,0,0,1,0,2,1,0,0,0,0,6,46,4,2,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,79.0,11.0,1.5288666666666668,-0.9997,-1.069,4.091
17171,0,1,0,0,1,0,1,1,0,0,0,0,6,46,3,2,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,86.2,8.0,-1.069375,1.3251666666666668,-0.218,1.641
17172,1,0,0,0,1,0,1,0,0,0,0,0,6,46,2,2,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,85.7,11.0,-1.0846833333333332,1.3481,-1.817,3.291
17173,1,0,0,0,1,0,0,0,0,0,0,0,6,46,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
17174,0,0,0,1,0,0,3,2,0,0,0,2,5,41,6,2,4,0,0,1,0,0,0,0,1,0,0,0,0,0,0,93.9,3.0,-0.6671833333333332,1.9830666666666668,0.403,2.801
17175,0,0,1,0,0,0,3,1,0,0,0,2,5,41,5,2,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,94.2,7.0,-0.5544583333333332,1.4255,-0.625,1.644
17176,0,0,1,0,0,0,2,1,0,0,0,2,5,41,4,2,4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,93.6,6.0,-0.868975,1.6462333333333332,0.488,2.077
17177,0,0,1,0,0,0,2,0,0,0,0,2,5,41,3,2,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,96.3,14.0,-0.9427333333333332,1.6519666666666668,0.802,1.294
17178,0,0,1,0,0,0,1,0,0,0,0,2,5,41,2,2,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,96.2,2.0,-1.0846833333333332,1.6491,0.237,3.434
17179,0,0,1,0,0,0,0,0,0,0,0,2,5,41,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
17180,1,0,0,0,1,0,0,1,0,0,1,0,5,40,2,2,4,0,0,1,0,0,0,0,0,0,1,0,0,0,0,95.4,6.0,-0.7632083333333333,1.9085333333333332,0.39,2.403
17181,0,0,1,0,1,0,0,0,0,0,1,0,5,40,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
17182,0,0,1,0,0,0,1,0,0,0,0,0,5,39,2,2,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,96.8,9.0,-0.927425,1.6161333333333332,0.369,1.626
17183,0,0,1,0,0,0,0,0,0,0,0,0,5,39,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
17184,0,1,0,0,0,0,0,1,0,0,0,0,5,38,2,1,4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,92.8,6.0,-0.7673833333333331,1.5545,0.287,2.142
17185,0,0,1,0,0,0,0,0,0,0,0,0,5,38,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
17186,0,0,1,0,0,0,0,0,0,0,0,0,5,37,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
