,CH,CU,FC,FF,SL,stand_L,home_team,balls,strikes,on_3b,on_2b,on_1b,outs_when_up,inning,at_bat_number,pitch_number,bat_score,fld_score,ball,blocked_ball,called_strike,foul,foul_bunt,foul_tip,hit_by_pitch,hit_into_play,hit_into_play_no_out,hit_into_play_score,missed_bunt,swinging_strike,swinging_strike_blocked,release_speed,zone,pfx_x,pfx_z,plate_x,plate_z
20359,0,0,0,1,0,0,1,0,2,0,1,0,1,5,35,3,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,95.1,3.0,-1.2266333333333332,1.1617666666666664,0.429,2.955
20360,0,0,0,1,0,0,1,0,1,0,1,0,1,5,35,2,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,94.8,1.0,-1.7025833333333331,1.0585666666666664,-0.339,2.889
20361,0,0,0,0,1,0,1,0,0,0,1,0,1,5,35,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,85.9,5.0,-0.22045833333333328,0.5253666666666666,-0.023,2.293
20362,1,0,0,0,0,1,1,1,1,0,0,0,1,5,34,3,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,84.4,4.0,-1.3922416666666668,-0.1139,-0.613,2.08
20363,1,0,0,0,0,1,1,0,1,0,0,0,1,5,34,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,85.7,11.0,-1.6163,-0.19703333333333328,-1.249,2.583
20364,0,0,0,1,0,1,1,0,0,0,0,0,1,5,34,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,92.3,4.0,-1.4646083333333333,1.3051,-0.733,2.182
20365,1,0,0,0,0,1,1,2,2,0,0,0,0,5,33,5,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,85.3,13.0,-1.4381666666666668,-0.1311,-0.467,1.277
20366,0,1,0,0,0,1,1,1,2,0,0,0,0,5,33,4,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,80.3,7.0,0.7690166666666666,0.01653333333333333,-0.8,1.422
20367,0,0,0,1,0,1,1,1,1,0,0,0,0,5,33,3,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,93.2,13.0,-1.4771333333333332,1.2062,-0.965,1.586
20368,1,0,0,0,0,1,1,1,0,0,0,0,0,5,33,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,83.6,4.0,-1.57455,0.2630666666666666,-0.476,2.768
20369,0,0,0,1,0,1,1,0,0,0,0,0,0,5,33,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,91.2,13.0,-1.587075,1.3739,-0.636,1.091
20370,0,0,0,1,0,1,1,0,0,0,0,1,2,4,27,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,92.4,1.0,-1.466,1.0915333333333332,-0.584,2.626
20371,0,0,0,1,0,1,1,1,2,0,0,0,2,4,26,5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,94.0,5.0,-1.1988,1.1187666666666665,-0.117,2.685
20372,0,0,0,1,0,1,1,1,2,0,0,0,2,4,26,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,94.2,13.0,-1.5425416666666667,1.164633333333333,-0.843,2.279
20373,0,0,0,1,0,1,1,0,2,0,0,0,2,4,26,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,96.1,13.0,-1.5007916666666667,1.1302333333333332,-0.366,1.355
20374,0,1,0,0,0,1,1,0,1,0,0,0,2,4,26,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,80.1,13.0,0.4600666666666666,-0.1741,-0.205,1.165
20375,0,1,0,0,0,1,1,0,0,0,0,0,2,4,26,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,80.1,14.0,0.3682166666666666,0.0667,0.052,1.332
20376,1,0,0,0,0,1,1,0,2,0,0,0,1,4,25,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,87.5,7.0,-1.461825,-0.03506666666666666,-0.461,1.625
20377,0,1,0,0,0,1,1,0,1,0,0,0,1,4,25,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,79.5,7.0,0.6395916666666666,-0.09383333333333332,-0.627,1.733
20378,0,0,0,1,0,1,1,0,0,0,0,0,1,4,25,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,92.3,5.0,-1.0624166666666663,1.3681666666666668,-0.23,2.717
