,CH,CU,FC,FF,FT,stand_L,home_team,balls,strikes,on_3b,on_2b,on_1b,outs_when_up,inning,at_bat_number,pitch_number,bat_score,fld_score,ball,blocked_ball,called_strike,foul,foul_bunt,foul_tip,hit_by_pitch,hit_into_play,hit_into_play_no_out,hit_into_play_score,missed_bunt,swinging_strike,swinging_strike_blocked,release_speed,zone,pfx_x,pfx_z,plate_x,plate_z
5060,0,0,1,0,0,0,0,0,1,0,0,1,1,6,53,2,4,5,0,0,0,1,0,0,0,0,0,0,0,0,0,89.2,13.0,0.2705,0.9531,-0.9988,1.9809
5061,0,0,0,0,1,0,0,0,0,0,0,1,1,6,53,1,4,5,0,0,1,0,0,0,0,0,0,0,0,0,0,91.0,12.0,1.6884,0.7297,1.1099,2.5764
5062,0,0,1,0,0,0,0,1,2,0,0,0,1,6,52,5,4,5,0,0,0,0,0,0,0,0,1,0,0,0,0,88.2,6.0,0.4242,0.945,0.7636,2.2088
5063,1,0,0,0,0,0,0,0,2,0,0,0,1,6,52,4,4,5,1,0,0,0,0,0,0,0,0,0,0,0,0,84.0,13.0,1.0011,1.0119,-0.9326,1.5594
5064,0,0,0,1,0,0,0,0,2,0,0,0,1,6,52,3,4,5,0,0,0,1,0,0,0,0,0,0,0,0,0,91.7,11.0,0.506,1.1346,-0.1483,3.7113
5065,1,0,0,0,0,0,0,0,1,0,0,0,1,6,52,2,4,5,0,0,0,0,0,0,0,0,0,0,0,1,0,84.0,14.0,0.9193,0.4502,0.0867,0.5914
5066,0,1,0,0,0,0,0,0,0,0,0,0,1,6,52,1,4,5,0,0,1,0,0,0,0,0,0,0,0,0,0,78.2,3.0,-0.4018,-0.4725,0.3897,2.8083
5067,0,0,1,0,0,0,0,0,2,0,0,0,0,6,51,3,4,5,0,0,0,0,0,0,0,0,0,0,0,1,0,88.6,11.0,0.1319,0.7922,-0.8764,3.6402
5068,0,0,1,0,0,0,0,0,1,0,0,0,0,6,51,2,4,5,0,0,0,1,0,0,0,0,0,0,0,0,0,90.2,11.0,-0.1738,1.3385,-1.4217,3.2284
5069,0,0,0,0,1,0,0,0,0,0,0,0,0,6,51,1,4,5,0,0,1,0,0,0,0,0,0,0,0,0,0,90.7,14.0,1.7595,0.7927,1.1231,2.7522
